,Description,Genre
2318,"Jesus Christ and Gautama Buddha, the founders of Christianity and Buddhism, are living together as roommates in a Tokyo apartment while taking a vacation on Earth. The comedy often involves jokes about Christianity, Buddhism, and all things related, as well as the main characters' attempts to hide their identities and understand modern society in Japan.",Non Crime
2319,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,Crime
2320,"Eager young radio reporter Teräsvuori stages a one-man burglary into the Helsinki Art Museum, recorded on tape for a later broadcast by his friend Laakso. Things go awry when a gang of real criminals overhear their plans and book their heist to coincide. Teräsvuori gets caught but escapes from police custody to start his private investigations together with female radio colleague Eila.",Crime
2321,A murder mystery set in the world of illegal teenage gambling. A 17-year old must find his best friends' killer before the game is exposed.,Crime
2322,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,Crime
2323,"Douglas Elmore is an alcoholic writer and caretaker haunted by visions of his dead wife and pursued by supernatural forces bent on revenge for his past deeds. When tenants start turning up dead in the hallways and stairwells of his brownstone apartment building, Douglas suspects a strange but sexually alluring homeless prostitute named Karna who sleeps in his basement by day and prowls the empty city by night. But as the bodies pile up, Douglas is torn between his growing obsession with Karna and the threat of becoming a prime suspect in a murder investigation. Douglas must find the origin of the evil residing in the old Hagstone building before the secrets of his past return to destroy him.",Non Crime
2324,"A rich girl steals her dad's Rolls Royce and heads off to Las Vegas to get married. However, her angry parents, a jealous suitor, and a bunch of reward seekers are determined to stop her.",Crime
2325,"This dark comedy is set in Dunedin, New Zealand. A university student finds an old ""abandoned"" house and proceeds to invite other students to share. It even has running electricity. But what is the catch?",Non Crime
2326,"A look at the life and music of legendary singer and civil rights activist, Mavis Staples.",Non Crime
2327,"With a flu epidemic running rife, three new bumbling recruits are assigned to Inspector Mills police station. With help from Special Constable Gorse, they manage to totally wreck the operations of the police force and let plenty of criminals get away, even before they arrive at the station. They all have to prove themselves or else they'll be out of a job and Sergeant Wilkins will be transferred. Sub-plots include romances between Wilkins and Moon, Constable and Passworthy.",Non Crime
2328,In the 17th century a Jesuit priest and a young companion are escorted through the wilderness of Quebec by Algonquin Indians to find a distant mission in the dead of winter. The Jesuit experiences a spiritual journey while his young companion falls in love with the Algonquin chief's beautiful daughter underneath the imposing and magnificent mountains. Dread and death follows them upriver.,Non Crime
2329,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, N.Y. Despite his high ratings and the love of his beautiful girlfriend, Grace, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God -- and the Almighty responds, endowing Bruce with all of His divine powers.",Non Crime
2330,"Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.",Crime
2331,Charlie B. Barker and Itchy Ford are back with Sasha and the gang having a Dicken's of a time as they try to save Christmas from Carface and an evil spirit that wishes to use dogs all over the world to ruin Christmas forever.,Non Crime
2332,"Hunted by the Ming from China, young Kotaro and his dog meet a nameless samurai ""Nanashi"" who is haunted constantly by memories of his past which has led him to avoid drawing his sword ever again. Among the Ming is a fearsome Western fighter named Raro, whose only desire is to find a worthy opponent.",Non Crime
2333,An unusual ghost story set on the Peruvian seaside; a married fisherman struggles to reconcile his devotion to his male lover within his town's rigid traditions.,Non Crime
2334,"“I Want To Be A Soldier” is the story of Alex, an average 8 year old child who develops a morbid fascination for images portraying violence. He starts to have communication problems with his parents and other children at school and becomes withdrawn, inventing two imaginary friends.",Non Crime
2335,"The Game of Death is a documentary co-produced by France Télévisions and Radio Television Switzerland1 in 2009 and staging a fake game show (The Xtreme Zone) during which a candidate must send electric shocks increasingly strong candidate to another until voltages that can cause death. The staging reproduces the Milgram experiment carried out initially in the United States in 1960 to study the influence of authority on obedience: electric shocks are fictitious, an actor pretending to suffer, and objective is to test the ability to disobey the candidate who inflicts this treatment and who is not aware of the experiment. The notable difference with the original experience is that scientific authority is replaced by a television presenter, Tania Young.",Non Crime
2336,"A crooked real estate tycoon tricks a trusting young woman out of her small candy store. When he is found dead, the girl is suspected of the crime.",Non Crime
2337,"The Olsen gang in Jutland. Ones again Egon Olsen has a plan when he gets out of Vridslose State Prison. He has found out that the Germans left a large sum of money (in American dollars and gold bars) in one of their commando bunkers, when they were defeated in 1945; the only problem it's in Jutland. Egon, Benny and Kjeld ""appropriate"" a car and drives to Jutland along with Kjelds wife and child Yvonne and Borge. They look forward to fooling the the people in Jutland, but of course, things don't go quite as planed. It ends with Benny, Kjeld, Borge and Yvonne sitting in the train back to Copenhagen, were they are overtaken by Egon in his car on the road next to the track. This is the last time the Olsen gang goes to Jutland.",Crime
2338,Young German princess Sophia is married off to Russia's half-mad Grand Duke Peter in the hope of improving the royal blood line.,Non Crime
2339,"The wife of a psycho-analyst falls prey to a devious quack hypnotist when he discovers she is an habitual shoplifter. Then one of his previous patients now being treated by the real doctor is found murdered, with her still at the scene, and suspicion points only one way.",Crime
2340,A married man (Michel Bouquet) who killed the wife of his best friend during a tryst feels compelled to turn himself in.,Crime
2341,"Before Sam Axe teamed up with Michael and Fiona, he was Commander Axe, U.S. Navy SEAL. The Fall of Sam Axe tells the story of how Sam went from respected Naval Commander to the man of mystery we've come to know on Burn Notice. On what will turn out to be Sam's last military mission, he is sent to the jungles of Colombia to investigate claims of a vicious terrorist organization known only as the ""Espada Ardiente"" (Flaming Sword). His mission: to determine whether U.S. military aid is necessary to deal with the threat. But when he arrives, things are more complicated than he'd imagined. He receives word that the rebels have targeted a small civilian clinic deep in the jungle. Sam must now save the clinic's doctors and patients from certain death. However, nothing is as it seems and the Espada Ardiente may not be the biggest threat Sam Axe faces.",Crime
2342,The working class twin sister of a callous wealthy woman impulsively murders her out of revenge and assumes the identity of the dead woman. But impersonating her dead twin is more complicated and risky than she anticipated.,Crime
2343,"When Bill, the title character, secures a very small loan to start his dream business--a health food stand--his struggles as an idealistic micro-business owner begin.",Non Crime
2344,"When their daughter is kidnapped by experienced nappers (Bacon and Love), the Jennings' (Theron and Townsend) turn the tables on this seemingly foolproof plan.",Crime
2345,"When they're hired to recover the lost treasure of Columbus, married scuba divers Sebastian (Chris Carmack) and Dani (Laura Vandervoort) think they've hit the jackpot. But as they get closer to the fortune, the couple begins to suspect their employers have their own agenda. Hitting upon the real plan, the two come to the chilling realization that they may be expendable and that there's much more than riches at stake.",Non Crime
2346,A small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.,Non Crime
2347,"Oulage has it all planned: New Year's eve, at the stroke of midnight, he'll finally kiss Brigitte, the girl he's madly in love with. That'll be the moment, because Brigitte is having a costume party. Oulage has it all planned—except for the fact that Brigitte has also invited a gang of truly parasitical friends: an old girl friend who never leaves Brigitte's side, a manic-depressive police officer, a paranoid psychopath, a cannabis-addict suffering withdrawal pains, a stunning Cuban woman on the prowl for immigration papers, and many others who do everything to ruin Oulage's life.",Non Crime
2348,"Lionel Twain invites the world's five greatest detectives to a 'dinner and murder'. Included are a blind butler, a deaf-mute maid, screams, spinning rooms, secret passages, false identities and more plot turns and twists than are decently allowed.",Crime
2349,"Emily Lindstrom, 14, is an aspiring concert violinist; she's spending the summer practicing for a big audition while her girlfriends are at camp. She's also got a thriving neighborhood business: for 50 cents, she'll keep your secret. Her mother is very pregnant, and her parents seem more concerned about the new baby than anything Emily cares about. A new family moves in next door; their son, Philip, 12, becomes Emily's friend. Eventually, the weight of Emily's secrets - her own, the ones she's keeping professionally, and a secret Philip tells her, send her life temporarily crashing down.",Non Crime
2350,"When Miranda splits up with her creepy boyfriend Brendan because he attacked her she finds out that he is now going out with her sister Kerry and later proposes to her. Miranda warns her sister, as Brendan swims his way into their family ruining peoples lives. This drama story turns into a Ultimate Terror Twist.",Non Crime
2351,"Argoman has a silly costume and is a sexist pig. He uses his special telekinetic to get the ladies to sleep with him. The catch is, after a night with a gal he loses his special powers for 6 hours!  In this comedic super/spy thriller, Argoman goes head to head against the evil Jenabelle: Queen of the World.",Non Crime
2352,"Camila is in her mid-twenties and her life has been thrown into chaos ever since her boyfriend threw her out of their apartment during a bitter argument. Camila's ambition is to become a writer, and she posts regularly on her blog, entitled ""Camila Jam."" However, Camila wants to take her work into a different direction, and she throws herself head first into life in search of inspiration. As Camila struggles with alcohol, unsettled emotions and relationships with abusive men, it becomes increasingly obvious that her skills as a writer aren't all she needs to sort out if she wants to truly understand her life and her career.",Non Crime
2353,"Two families, cotton merchants in England and America, with branches in France and Prussia swear to stand by each other in a belief that a great business firmly established in four countries will be able to withstand even such another calamity as the Napoleonic Wars from which Europe is slowly recovering. Then many years later, along comes World War One and the years that follow, to test the businesses.",Non Crime
2354,An independent trucker with a pregnant wife fights cargo crooks and the big shot they work for.,Crime
2355,"Paris 2020, a high tech surgeon and her daughter are involved in a horrific car accident, the surgeon saves her daughter's life at the cost of manipulating her dreams and memories.",Crime
2356,"While trying to obtain ""Tree Sweets"", Littlefoot into the tree and knocks down all the blossoms, attracting the Tinysauruses. They devour the plants and disappear. But Littlefoot isn't blamed for the disappearance, instead he accidentally makes the adults believe the tiny dinosaurs were the main cause. Now Littlefoot and his friends must protect the tiny herd and learn the value of honesty.",Non Crime
2357,"Consuming Kids throws desperately needed light on the practices of a relentless multi-billion dollar marketing machine that now sells kids and their parents everything from junk food and violent video games to bogus educational products and the family car. Drawing on the insights of health care professionals, children's advocates, and industry insiders, the film focuses on the explosive growth of child marketing in the wake of deregulation, showing how youth marketers have used the latest advances in psychology, anthropology, and neuroscience to transform American children into one of the most powerful and profitable consumer demographics in the world. Consuming Kids pushes back against the wholesale commercialization of childhood, raising urgent questions about the ethics of children's marketing and its impact on the health and well-being of kids.",Non Crime
2358,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",Non Crime
2359,A group of adventurers refloat a WWII German submarine and prepare to use it to pull a very large heist; The Queen Mary which they plan to rob on the high seas.,Crime
2360,"Jeong Do-man is a low-ranking traffic cop whose tendency to do things ""by the book"" sometimes gets him in trouble, such as when he pulls over his new boss, newly instated police chief Lee Seung-man, and issues him with a traffic ticket. Though surprised and annoyed by the unexpected fine, the police chief has bigger problems; the town of Sampo has been hit by a string of bank robberies, and to reassure the public he decides to carry out a realistic drill which will demonstrate the police force's capability. Do-man is chosen to act out the part of the bank robber, but with his usual fastidious attention to detail he sets out to commit the perfect crime.",Crime
2361,"Paradise Girls is about three young women, Miki, Pei Pei and Shirley, who are going through an emotional phase in their lives in different places in the world. Their initially carefree lives have each been disrupted by men: a boyfriend, a father and a young son. Each girl's individual reaction on these recent misfortunes illustrates a determination as well as a subconscious love of life that is so characteristic to their age. Written by Motel Films",Non Crime
2362,A funny comedy about three young girls and one man who are stuck on inhabited island.,Non Crime
2363,"16-year-old juvenile offender Ji-gu reunites with his young mom who he thought was dead, and the two try to make up for their time lost.",Non Crime
2364,A film featuring performances of several stars of the Latin Jazz music scene.,Non Crime
2365,No overview found.,Crime
2366,A businessman comes into conflict with a gangster when he refuses to allow drugs to be sold through his restaurant.,Crime
2367,"Strippers in Manhattan are being stalked and murdered by a psycho. A hard-nosed police detective and a conflicted ex-boxer-turned-private-eye, hired by the strip club owners, set out to find him before he strikes again.",Crime
2368,"A futuristic drama about five survivors trying to make sense of a New World after a devastating urban catastrophe challenges their basic human needs. Set in a bleak, post-urban landscape in the aftermath of the Third World War, the film presents a strangely limited environment where a single woman and four men are forced to communicate without words as a result of destructive gasses from the war. When their pasts are erased by the war, they are forced to recreate their lives both individually and collectively.",Non Crime
2369,"""If you don't have your own plan, you'll damn sure be a part of someone else's."" That quote kicks off the first of multiple story lines, in the crime ensemble ""Bubblegum &amp; Broken Fingers."" This character-driven collage of sex, violence and survival is equal parts western, gangster and love stories. We follow the journey of a mysterious silver briefcase and witness the havoc it brings each new owner.",Crime
2370,"Ty, Hector, and Bao are close friends in a tough section of Boston, where they're called ""the PG-13 crew."" They're 14, decent kids with few skills who've bailed out of school. A small gang of older tough guys, led by Marcus and Tommy, menace them, and when the PG-13s fight back and rob one of the gang, Marcus and Tommy vow to kill them. They seek protection from Derick, a drug dealer, who agrees to help if they'll sell drugs. Meanwhile, Ty is recruited to work at a community center by J.J., its quiet leader. Ty and his friends are in a squeeze: surrounded by violence, drugs, and no opportunities, is there any way out?",Crime
2371,An ethnographic treasure that documents with visual bravado the harsh conditions of life in the isolated mountain village of Ushkul.,Non Crime
2372,A cavalry troop finds itself under constant attack by Indians.,Non Crime
2373,"A Vietnam veteran, Charles Rane, returns home after years in a POW camp and is treated as a hero. When thugs invade his home to steal the silver coins he received for his service, they mangle his hand and leave him and his family for dead. Rane survives and becomes obsessed with getting revenge. Aided by his loyal friend Johnny Vohden, Rane, now wielding a hook for a hand, sets out on his mission of vengeance.",Crime
2374,"A British agent's son is kidnapped and held for a ransom of diamonds. The agent finds out that he can't even count on the people he thought were on his side to help him, so he decides to track down the kidnappers himself.",Crime
2375,An indigenous detective returns to the Outback to investigate the murder of a young girl.,Crime
2376,"Ramirez, the general of the Mexican revolution against Maximilian who has been appointed king of Mexico, organizes his forces to attack the king's General, Miranda. Ramirez realizes that the Aztec Indians would be allies of great value, so he offers to return to them an idol statue that has been stolen from them. Only Alleluja is capable of retrieving the idol from the thieves.",Non Crime
2377,"In 1994 South Korea, a female North Korean spy integrates herself as a housekeeper for U.S. military officer to steal classified documents, but soon worries about her cover when she falls for the teenage son of the officer.",Non Crime
2378,"Tales of eleven losers are told and interwoven. Burt can't satisfy Angel, so she seeks the arms of another man, who is caught by Angel in the arms of another woman. Angel ends up with Justin, who ends up with a co-worker's wife. As Angel and Burt argue, a sorceress watches, and eventually seduces Burt while Angel gets to know Ray, who had previously chased a blonde girl down on the coast. You get the idea.",Crime
2379,"Joe, a programmer and obsessive self-quantifier, and Emily, a budding comedy performer, are happily married until they decide to use one another in their work. A dark comedy about love, technology, and what can’t be programmed.",Non Crime
2380,Two children in the Viking age find their way into the magical world of Norse mythology.,Non Crime
2381,"On July 20, 2012, a mass shooting occurred inside of a Century movie theater in Aurora, Colorado, during a midnight screening of the film The Dark Knight Rises. A gunman, dressed in tactical clothing, set off tear gas grenades and shot into the audience with multiple firearms, killing 12 people and injuring 70 others. The sole suspect, James Eagan Holmes, was arrested outside the cinema minutes later.",Non Crime
2382,Donner Pass has a well-known and macabre history - the place where George Donner and his party got stuck in the winter of 1846 and were forced to resort to cannibalism to keep from starving. But what if it wasn't just history?,Non Crime
2383,In 1997 the close-knit Anderson family vanished from their home without a trace. No bodies were ever found and no explanation satisfied curiosity. For 17 years the house has remained undisturbed...until now. This eerily expert frightener is further enlivened by terrific performances from ‘Suits’/’Arrow’ star Neal McDonough and SILENT HILL/THE TALL MAN/TIDELAND’s Jodelle Ferland.,Non Crime
2384,A woman is found murdered in a house along the coast from Brighton. Local detectives Fellows and Wilks lead an investigation methodically following up leads and clues mostly in Brighton and Hove but also further afield.,Crime
2385,Three parties pursue the million dollars that driver Xiao Zhang stole to help out his girlfriend.,Crime
2386,"During the Chinese Revolution in 1949, three couples flee from China to an island of Taiwan.",Non Crime
2387,"The film is set during 1962 in Sevastopol, Crimea, then a secret Navy Base in the Soviet Union. General Serov hires Viktor, a cadet from the Kremlin Guard to work as his private chauffeur. In a jet-black ""ZIM"" limo, Viktor is chauffeuring the General's disabled daughter Vera. Viktor is oblivious to the hidden agenda of the KGB agent Saveliev, who manipulates everyone behind the scenes in the old rivalry between the Army and KGB.",Non Crime
2388,"Walter Weed is an unassuming desk jockey at the FBI when the Bureau uncovers a plot to assassinate him. A team of degenerate, psychotic assassins dispatched by mystery man Hal Leuco to win a huge bounty includes a resourceful beauty who has a unique method of killing her prey, a power-tool wielding psychopath and a deadly master of disguise.",Crime
2389,"A mentally unstable man, who has been kept in isolation for years, escapes and causes trouble for his identical twin brother.",Non Crime
2390,"The day she turns 40, Marguerite Flora, a successful rep for a nuclear power company, begins receiving letters she'd sent to herself at age seven. The letters tell her what to do if her life hasn't turned out the way she thought it should, when she was living in poverty with her mother and brother in a small village in southern France. She decides to go back to her birthplace to get the lawyer to stop the letters, but also to visit her childhood sweetheart and her long-forgotten brother, in order to find peace within herself.",Non Crime
2391,"Will Montgomery (Ben Foster), a U.S. Army Staff Sergeant who has returned home from Iraq, is assigned to the Army’s Casualty Notification service. Montgomery is partnered with Captain Tony Stone (Woody Harrelson), to give notice to the families of fallen soldiers. The Sergeant is drawn to Olivia Pitterson (Samantha Morton), to whom he has delivered news of her husband’s death.",Non Crime
2392,"When a troubled teen is subjected to severe bullying, he accidentally conjures the vengeful ghost of Moira Karp. Once a teenage girl pushed to suicide, Moira is now an unstoppable force on a mission of gruesome retribution. But when she goes to far, he must prevent her from spiraling out of control in this passionate and vividly violent supernatural thriller.",Non Crime
2393,"After the war, Matt Gordon returns to Singapore to retrieve a fortune in smuggled pearls. Arrived, he reminisces in flashback about his prewar fiancée, alluring Linda, and her disappearance during the Japanese attack. But now Linda resurfaces...with amnesia and married to rich planter Van Leyden. Meanwhile, sinister fence Mauribus schemes to get Matt's pearls.",Crime
2394,A young writer recounts an earlier romance in hopes of attracting his new love interest.,Non Crime
2395,"One night in the New Orleans slums, vicious hoodlum Blackie and his friends kill an illegal immigrant who won too much in a card game. Next morning, Dr. Clint Reed of the Public Health Service confirms the dead man had pneumonic plague. To prevent a catastrophic epidemic, Clint must find and inoculate the killers and their associates, with the reluctant aid of police captain Tom Warren, despite official skepticism, and in total secrecy, lest panic empty the city. Can a doctor turn detective? He has 48 hours to try...",Crime
2396,"A former model, serving time in prison, becomes a key witness in a trial against a notorious gangster. She is put under protective watch by the District Attorney in a posh hotel, but the crime kingpin makes attempts to get to her.",Crime
2397,"The Demonic Toys are back, so policewoman Judith Grey seeks the help of 12 inch tall Dollman and his 12 inch tall girlfriend, Nurse Ginger. The Toys hole up in an evil deserted toy factory and it's up to Dollman to keep the Toys from summoning the powers of darkness to the Earth.",Non Crime
2398,"Documentary about Fidel Castro, covering 40 years of Cuban Revolution. Rare Fidel Castro footage: he appears swimming with a bodyguard, visiting his childhood home and school, playing with his friend Nelson Mandela, meeting kid Elián Gonzalez, and celebrating his birthday with the Buena Vista Social Club group.",Non Crime
2399,"Trevor sometimes-violent skinhead with no regard for authority, and would rather spend his time stealing cars than sitting in the detention centre to which he is sent. His social worker, Harry Parker, tries to do his best, but Trevor is only interested when there’s something that he can get out of it. The authorities within the centre try to make Trevor conform to the norms of society, but he takes no notice, and would rather speak in a torrent of four-letter words and racial abuse.",Crime
2400,Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.,Crime
2401,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during in the early 1960s.,Non Crime
2402,Sandra is a young woman who has only one weekend to convince her colleagues they must give up their bonuses in order for her to keep her job — not an easy task in this economy.,Non Crime
2403,Nazi hunter Ezra Lieberman discovers a sinister and bizarre plot to rekindle the Third Reich.,Non Crime
2404,"In Hamburg, West Germany, a rocker biker gang helps a kid avenge his brother who was murdered by a rival gang, a mortal enemy of rocker gangs.
 Very authentic movie about life in Hamburg in the early 1970s.
 Rock’n’roll, sex, drugs, 70s lifestyle, 70s hairstyle, murder, prostitution, Santana, bikers, Reeperbahn, and St. Pauli provide the basis for the story featuring Gerd and Modschiedler, the ill-assorted couple (if at all amateur actors, who act themselves) of this fantastic movie.",Crime
2405,"Indigenous detective Jay Swan arrives in the frontier town of ""Goldstone"" on a missing persons inquiry. What seems like a simple ""light duties"" investigation opens into a web of crime and corruption. Jay must pull his life together and bury his differences with young local cop Josh, so together they can bring justice to Goldstone.",Crime
2406,The life of American public enemy number one who was shot by the police in 1934.,Crime
2407,"In New York City, a crime lord's right-hand man is seduced by a woman seeking retribution.",Crime
2408,"John, a disillusioned Vietnam War journalist, turns to heroin smuggling. He cons Ray, an equally burnt out veteran into delivering the drugs stateside to his wife. Everything soon falls apart and Ray ends up on the run with John's wife trying to evade crooked narcotics agents.",Crime
2409,"The crooks in London know how it works. No one carries guns and no one resists the police. Then a new gang appears that go one better. They dress as police and steal from the crooks. This upset's the natural order of the police/criminal relationship and the police and the crooks join forces to catch the IPOs (Impersonating Police Officers), including an armoured car robbery in which the police must help the gangs to set a trap.",Crime
2410,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Non Crime
2411,An officer of the law and his father are framed for a robbery they did not commit. With only his father's sword at the scene and the man nowhere to be found the officer flees in order to discover who really stole the jewels so that he may clear the family name.,Non Crime
2412,"Two seemingly separate stories in New South Wales: a burned, murdered body of a young woman is found on the beach, and a retired inspector makes inquiries; also, Linda, a waitress and ferry attendant, has several lovers and marries one, but continues seeing the others. The police have a suspect in the murder, but the retired inspector is convinced they're wrong; he continues a methodical investigation. Linda and her husband separate, and there are complications. Will the stories cross or are they already twisted together?",Non Crime
2413,"A boy who lives at a country club where his father works decides to make some extra money by selling composted horse manure as fertilizer, and has his three sisters (two of which are older) join him in the enterprise. As their sales increase, they draw increased scrutiny from the IRS and state tax board, as well as the large scale competitor who seeks to put them out of business at any cost.",Non Crime
2414,"The Broadway theatre world provides the background for Walter Lang's 1959 comedy about a veteran producer (Clark Gable) falling in love with his twenty-something secretary (Carroll Baker). The cast also includes Lee J. Cobb, Lilli Palmer, Barry Coe, Thomas Gomez and Charles Lane.",Non Crime
2415,"After his mistress is murdered a Mafia leader goes after the killer with a bloody vengeance. Soon after the hunt begins, a gang war ensues.",Crime
2416,"In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.",Non Crime
2417,"A motley crew of young boys in Colombia lives only for one passion: soccer. But when their precious new ball rolls into a minefield, their dreams are suddenly on hold. Even as the village becomes the center of a tug-of-war between right-wing paramilitary groups and leftist guerrillas, the idea of a rescue attempt is too tempting to resist.",Non Crime
2418,"Golden Swallow revolves around the further adventures of its title character. This time around, she is forced into violence when a figure from her mysterious past goes on a killing rampage while leaving evidence that holds her responsible. Golden Swallow also makes room for a love triangle involving a mad, but righteous, swordsman named Silver Roc and a gentle warrior named Golden Whip. The three team up to conquer the evil forces of the martial world, but their joint venture only lasts so long, due to the two men's egos. Ultimately, a duel to the death is planned between them, leaving Golden Swallow caught between two men, both of whom she admires.",Non Crime
2419,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",Non Crime
2420,"A group of female freedom-fighters led by Karine Levere is caught by the warden of a women's prison, located somwhere in the South American jungle. None of them will reveal the secrets of their organisation or the names of their collaborators in the cities, so they are handed over to Dr. Costa who, after four years inactivity in Europe, is delighted to be able to practice his torture techniques once more.  Laverne fails to resist the inhuman treatments and reveals all. The only hope of saving the organization is for the girls to warn the city cell before it's too late. They trick the prison guard into having sex with them, knock him out and break out of prison. The warden and Dr. Costa must prevent them from revealing the practices inside the prison. The hunt is on and it's shoot to kill...",Crime
2421,"Nina is totally heartbroken at the death of her boyfriend Jamie, but is even more unprepared for his return as a ghost. At first it's almost as good as it used to be - hey, even the rats that infested her house have disappeared. But Jamie starts bringing ghostly friends home and behaving more and more oddly.",Non Crime
2422,"High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes.",Crime
2423,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",Non Crime
2424,"Diabolical French capitalist Paul Reynard is forced to leave Irene, his bride of one year, when he is arrested for the crimes of forgery and embezzlement and sentenced to a penal colony off the coast of South America.",Crime
2425,"A drama centered on the friendship between two young women who grew up in the same orphanage; one has found refuge at a convent in Romania and refuses to leave with her friend, who now lives in Germany.",Non Crime
2426,"A decade after the collapse of the western world, Australia has become a lawless wasteland. As desperate outsiders pillage the country's precious mineral resources, taciturn Eric travels from town to town searching for signs of life.",Crime
2427,"Mario (Tognazzi), a rich and eccentric war hero befriends Marco (Dewaere), a loner with a sailboat and takes him home to meet his estranged wife Cleofe (Lia Tanzi Gabriella) and sexually repressed sister in law Matilde (Muti). Mario confesses his love for Matilde and so ensues a love triangle.",Crime
2428,"Dr. Markway, doing research to prove the existence of ghosts, investigates Hill House, a large, eerie mansion with a lurid history of violent death and insanity.",Non Crime
2429,"During the last days of Eva Peron, a pair of low-ranking detectives are thrust into a case of corruption involving the Mafia.",Crime
2430,A drug kingpin's return home touches off a turf war.,Crime
2431,"Pierre Gilieth has committed a murder in Paris. He flees to Barcelona, where he runs out of money. So he joins the Spanish Foreign Legion. He meets there two fellow countrymen, Mulot and Lucas. He tries to forget his fault... but Lucas's friendship soon appears to be less unselfish...",Non Crime
2432,"Sixteen-year-old Dylan is dying of cancer. When a charitable organization offers to grant Dylan his final wish, the teen has a surprising request: to meet supermodel Nikki Sinclair. Much to his mother's dismay, Dylan, with the help of his best friends, goes to New York to fulfill his dream.",Crime
2433,"The R of the title stands for the young protagonist, Rune, fearlessly played by Pilou Asbæk. Imprisoned for violent assault, he's a cocky, good-looking young man placed in the hardcore ward, where his survival depends on quickly learning the prison's parallel world of rules, honor, and obligations. R also stands for Rachid, a young Muslim prisoner who becomes Rune's friend and accomplice, defying the rigid racial stratifications among the inmates.",Crime
2434,A crook quietly plots his revenge against the boss who murdered his brother while working for him.,Crime
2435,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,Crime
2436,"An unfocused twentysomething (Peter Fenton) moves in with a former co-worker (Sacha Holder), who is suffering from low self-esteem because of her weight, looks, and a case of eczema. Their relationship is based on unending drink, drugs, and sex. Curiously, though the two are presented in a tender and humorous light that lets the viewer get involved in concerned about their direction.",Non Crime
2437,"Experimental anthology film consisting of nine segments - Contrasts, The Janitor, The Plumber, Another Wet Dream, The Happy Necrophiliacs, On a Sunday Afternoon, A Face, Politfuck, Flames - all focused on 70s sex, love and politics.",Non Crime
2438,"The film follows Jay Jay, a former hair dresser who has become a drug addict. He lives his new life by doing deals for Vivian from time to time. One day he meets Parm, a free-spirited girl. The two fall in love. Jay Jay's drug habit grows, and he soon resorts to robbery. On the threat of arrest, he works alongside two dirty policemen by becoming a narc, and reports on his former fellow junkies. Yet, as the movie continues, Jay Jay sinks deeper into turmoil with feelings of self-hatred.",Crime
2439,A survivor of an attack on a rebel group opposing the Manchu invasion of China creates the Goose Fist fighting technique and tries for revenge on a traitor.,Non Crime
2440,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.",Crime
2441,No overview found.,Non Crime
2442,"Scooby-Doo and the gang are on the case when a mysterious lake monster starts scaring the guests at a summer resort in Erie Point, where Fred, Daphne, Velma and Shaggy have taken on seasonal jobs to pay for a barn they accidentally burned down. But in addition to sneaking suspicions, there's some romance in the air.",Non Crime
2443,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Non Crime
